rank,tier,score,id,domain,topic,dimension,viewpoint,inspect_signals,executive_failure,probe_method
221,P2,89.855,D12-T04-V3,セキュリティ,Secrets管理,下方リスク・早期警戒責任,Secrets管理の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「資格情報漏洩で広範囲侵害が起きる」が顕在化する前に経営判断へつなげられること。,秘密情報の保管・ローテーション・漏洩検知,資格情報漏洩で広範囲侵害が起きる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
222,P2,89.85,D23-T01-V2,予算・財務計画・投資管理,予算達成,構造・因果の説明責任,予算達成の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,売上・原価・販管費・利益の計画差,売上未達と費用超過が同時進行する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
223,P2,89.835,D01-T02-V2,事業成果・売上成長,新規受注・New Logo,構造・因果の説明責任,新規受注・New Logoの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,新規ARR、受注社数、ACV、受注までの期間,案件数はあるが高確度案件が不足する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
224,P2,89.835,D08-T02-V2,顧客価値・利用・UX,Time to Value,構造・因果の説明責任,Time to Valueの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,導入から主要価値達成までの日数,導入長期化で更新前に価値を示せない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
225,P2,89.825,D12-T06-V3,セキュリティ,監査ログ,下方リスク・早期警戒責任,監査ログの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「侵害時に何が起きたか説明できない」が顕在化する前に経営判断へつなげられること。,特権・データアクセス・設定変更の追跡性,侵害時に何が起きたか説明できない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
226,P2,89.82,D01-T03-V2,事業成果・売上成長,Expansion売上,構造・因果の説明責任,Expansion売上の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,アップセル・クロスセルARR、Expansion比率,新規依存が高まり既存顧客基盤を収益化できない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
227,P2,89.82,D17-T03-V2,アーキテクチャ・技術負債・プラットフォーム,Legacy/EOL,構造・因果の説明責任,Legacy/EOLの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,OS/JDK/Framework/DB等のEOLと移行計画,サポート切れが緊急案件化する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
228,P2,89.81,D02-T07-V3,継続率・顧客維持,利用低下の早期検知,下方リスク・早期警戒責任,利用低下の早期検知の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「CSが解約直前まで兆候を把握できない」が顕在化する前に経営判断へつなげられること。,利用量・ログイン・主要機能利用の低下シグナル,CSが解約直前まで兆候を把握できない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
229,P2,89.795,D21-T08-V3,組織・人材・リーダーシップ,評価・インセンティブ,下方リスク・早期警戒責任,評価・インセンティブの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「Sales・Dev・CSが逆方向へ最適化する」が顕在化する前に経営判断へつなげられること。,KPIが部門最適を誘発していないか,Sales・Dev・CSが逆方向へ最適化する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
230,P2,89.79,D01-T05-V2,事業成果・売上成長,売上成長の再現性,構造・因果の説明責任,売上成長の再現性の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,チャネル別・セグメント別・製品別の成長寄与,一過性大型案件を恒常成長と誤認する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
231,P2,89.775,D23-T06-V2,予算・財務計画・投資管理,Scenario Planning,構造・因果の説明責任,Scenario Planningの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,Base/Upside/Downsideとトリガー,単一予測が外れたとき打ち手がない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
232,P2,89.765,D09-T10-V4,開発速度・R&D生産性,ボトルネック特定,意思決定・オーナー責任,ボトルネック特定に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,工程別待ち時間と制約点,全工程を均等改善して成果が出ない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
233,P2,89.765,D12-T10-V3,セキュリティ,Secure SDLC,下方リスク・早期警戒責任,Secure SDLCの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「セキュリティがリリース後の検査工程になる」が顕在化する前に経営判断へつなげられること。,設計・実装・依存・CI/CDへのセキュリティ統合,セキュリティがリリース後の検査工程になる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
234,P2,89.76,D01-T07-V2,事業成果・売上成長,顧客集中度,構造・因果の説明責任,顧客集中度の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,上位1/5/10社のARR比率、失注時影響,大口1社の解約で事業計画が崩れる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
235,P2,89.735,D11-T02-V1,信頼性・SRE・BCP,Error Budget,結果・状態の説明責任,Error Budgetについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,消費率とリリース判断への利用,信頼性悪化中も機能開発を続ける,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
236,P2,89.72,D03-T03-V1,収益性・ユニットエコノミクス,CAC Payback,結果・状態の説明責任,CAC Paybackについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,粗利調整後CAC回収月数,成長のために回収不能な獲得費を使う,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
237,P2,89.715,D08-T10-V2,顧客価値・利用・UX,顧客価値証明,構造・因果の説明責任,顧客価値証明の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,導入前後のKPI改善と因果根拠,ROIを説明できず更新・拡張で負ける,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
238,P2,89.69,D11-T05-V1,信頼性・SRE・BCP,MTTD,結果・状態の説明責任,MTTDについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,発生から検知までの時間,顧客問い合わせで初めて障害に気づく,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
239,P2,89.69,D20-T05-V1,カスタマーサポート・サービス運用,Sev1 Escalation,結果・状態の説明責任,Sev1 Escalationについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,重大問い合わせのエスカレーション速度,責任者到達が遅れて被害が拡大する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
240,P2,89.645,D03-T08-V1,収益性・ユニットエコノミクス,プロフェッショナルサービス負担,結果・状態の説明責任,プロフェッショナルサービス負担について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,導入・個別開発工数と回収額,SaaSが実質SI化してスケールしない,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
241,P2,89.645,D11-T08-V1,信頼性・SRE・BCP,容量余力,結果・状態の説明責任,容量余力について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,ピーク時余力、スケール限界、増設時間,成長や突発負荷で全体停止する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
242,P2,89.63,D03-T09-V1,収益性・ユニットエコノミクス,貢献利益,結果・状態の説明責任,貢献利益について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,顧客・製品・セグメント別Contribution Margin,売上は増えても利益貢献が減る,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
243,P2,89.63,D11-T09-V1,信頼性・SRE・BCP,再発障害,結果・状態の説明責任,再発障害について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,同一原因・同一系統の再発件数,根本原因未解消で信用を失う,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
244,P2,89.45,D23-T01-V4,予算・財務計画・投資管理,予算達成,意思決定・オーナー責任,予算達成に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,売上・原価・販管費・利益の計画差,売上未達と費用超過が同時進行する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
245,P2,89.435,D01-T02-V4,事業成果・売上成長,新規受注・New Logo,意思決定・オーナー責任,新規受注・New Logoに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,新規ARR、受注社数、ACV、受注までの期間,案件数はあるが高確度案件が不足する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
246,P2,89.435,D08-T02-V4,顧客価値・利用・UX,Time to Value,意思決定・オーナー責任,Time to Valueに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,導入から主要価値達成までの日数,導入長期化で更新前に価値を示せない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
247,P2,89.435,D11-T02-V3,信頼性・SRE・BCP,Error Budget,下方リスク・早期警戒責任,Error Budgetの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「信頼性悪化中も機能開発を続ける」が顕在化する前に経営判断へつなげられること。,消費率とリリース判断への利用,信頼性悪化中も機能開発を続ける,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
248,P2,89.42,D01-T03-V4,事業成果・売上成長,Expansion売上,意思決定・オーナー責任,Expansion売上に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,アップセル・クロスセルARR、Expansion比率,新規依存が高まり既存顧客基盤を収益化できない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
249,P2,89.42,D03-T03-V3,収益性・ユニットエコノミクス,CAC Payback,下方リスク・早期警戒責任,CAC Paybackの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「成長のために回収不能な獲得費を使う」が顕在化する前に経営判断へつなげられること。,粗利調整後CAC回収月数,成長のために回収不能な獲得費を使う,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
250,P2,89.42,D17-T03-V4,アーキテクチャ・技術負債・プラットフォーム,Legacy/EOL,意思決定・オーナー責任,Legacy/EOLに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,OS/JDK/Framework/DB等のEOLと移行計画,サポート切れが緊急案件化する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
251,P2,89.4,D21-T01-V2,組織・人材・リーダーシップ,責任境界,構造・因果の説明責任,責任境界の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,事業・Product・Engineering・Sales・CSの意思決定権,問題が組織間でたらい回しになる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
252,P2,89.39,D01-T05-V4,事業成果・売上成長,売上成長の再現性,意思決定・オーナー責任,売上成長の再現性に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,チャネル別・セグメント別・製品別の成長寄与,一過性大型案件を恒常成長と誤認する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
253,P2,89.39,D11-T05-V3,信頼性・SRE・BCP,MTTD,下方リスク・早期警戒責任,MTTDの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「顧客問い合わせで初めて障害に気づく」が顕在化する前に経営判断へつなげられること。,発生から検知までの時間,顧客問い合わせで初めて障害に気づく,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
254,P2,89.39,D20-T05-V3,カスタマーサポート・サービス運用,Sev1 Escalation,下方リスク・早期警戒責任,Sev1 Escalationの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「責任者到達が遅れて被害が拡大する」が顕在化する前に経営判断へつなげられること。,重大問い合わせのエスカレーション速度,責任者到達が遅れて被害が拡大する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
255,P2,89.385,D21-T02-V2,組織・人材・リーダーシップ,Key Person Risk,構造・因果の説明責任,Key Person Riskの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,重要領域の単独保有者・代替要員,退職や休職で運用・開発が止まる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
256,P2,89.375,D23-T06-V4,予算・財務計画・投資管理,Scenario Planning,意思決定・オーナー責任,Scenario Planningに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,Base/Upside/Downsideとトリガー,単一予測が外れたとき打ち手がない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
257,P2,89.37,D12-T03-V2,セキュリティ,脆弱性管理,構造・因果の説明責任,脆弱性管理の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,Critical/High脆弱性のSLA・滞留・例外,既知脆弱性を長期放置する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
258,P2,89.36,D01-T07-V4,事業成果・売上成長,顧客集中度,意思決定・オーナー責任,顧客集中度に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,上位1/5/10社のARR比率、失注時影響,大口1社の解約で事業計画が崩れる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
259,P2,89.355,D12-T04-V2,セキュリティ,Secrets管理,構造・因果の説明責任,Secrets管理の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,秘密情報の保管・ローテーション・漏洩検知,資格情報漏洩で広範囲侵害が起きる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
260,P2,89.345,D03-T08-V3,収益性・ユニットエコノミクス,プロフェッショナルサービス負担,下方リスク・早期警戒責任,プロフェッショナルサービス負担の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「SaaSが実質SI化してスケールしない」が顕在化する前に経営判断へつなげられること。,導入・個別開発工数と回収額,SaaSが実質SI化してスケールしない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
261,P2,89.345,D11-T08-V3,信頼性・SRE・BCP,容量余力,下方リスク・早期警戒責任,容量余力の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「成長や突発負荷で全体停止する」が顕在化する前に経営判断へつなげられること。,ピーク時余力、スケール限界、増設時間,成長や突発負荷で全体停止する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
262,P2,89.33,D03-T09-V3,収益性・ユニットエコノミクス,貢献利益,下方リスク・早期警戒責任,貢献利益の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「売上は増えても利益貢献が減る」が顕在化する前に経営判断へつなげられること。,顧客・製品・セグメント別Contribution Margin,売上は増えても利益貢献が減る,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
263,P2,89.33,D11-T09-V3,信頼性・SRE・BCP,再発障害,下方リスク・早期警戒責任,再発障害の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「根本原因未解消で信用を失う」が顕在化する前に経営判断へつなげられること。,同一原因・同一系統の再発件数,根本原因未解消で信用を失う,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
264,P2,89.325,D12-T06-V2,セキュリティ,監査ログ,構造・因果の説明責任,監査ログの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,特権・データアクセス・設定変更の追跡性,侵害時に何が起きたか説明できない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
265,P2,89.315,D08-T10-V4,顧客価値・利用・UX,顧客価値証明,意思決定・オーナー責任,顧客価値証明に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,導入前後のKPI改善と因果根拠,ROIを説明できず更新・拡張で負ける,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
266,P2,89.31,D02-T07-V2,継続率・顧客維持,利用低下の早期検知,構造・因果の説明責任,利用低下の早期検知の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,利用量・ログイン・主要機能利用の低下シグナル,CSが解約直前まで兆候を把握できない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
267,P2,89.295,D21-T08-V2,組織・人材・リーダーシップ,評価・インセンティブ,構造・因果の説明責任,評価・インセンティブの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,KPIが部門最適を誘発していないか,Sales・Dev・CSが逆方向へ最適化する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
268,P2,89.265,D12-T10-V2,セキュリティ,Secure SDLC,構造・因果の説明責任,Secure SDLCの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,設計・実装・依存・CI/CDへのセキュリティ統合,セキュリティがリリース後の検査工程になる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
269,P2,89.165,D25-T10-V1,評判・エコシステム・事業継続,事業継続の単一障害点,結果・状態の説明責任,事業継続の単一障害点について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,人・技術・契約・供給者のSPOF,1要素の喪失で事業提供が止まる,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
270,P2,89.0,D21-T01-V4,組織・人材・リーダーシップ,責任境界,意思決定・オーナー責任,責任境界に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,事業・Product・Engineering・Sales・CSの意思決定権,問題が組織間でたらい回しになる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
271,P2,88.985,D21-T02-V4,組織・人材・リーダーシップ,Key Person Risk,意思決定・オーナー責任,Key Person Riskに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,重要領域の単独保有者・代替要員,退職や休職で運用・開発が止まる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
272,P2,88.97,D12-T03-V4,セキュリティ,脆弱性管理,意思決定・オーナー責任,脆弱性管理に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,Critical/High脆弱性のSLA・滞留・例外,既知脆弱性を長期放置する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
273,P2,88.955,D12-T04-V4,セキュリティ,Secrets管理,意思決定・オーナー責任,Secrets管理に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,秘密情報の保管・ローテーション・漏洩検知,資格情報漏洩で広範囲侵害が起きる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
274,P2,88.935,D11-T02-V2,信頼性・SRE・BCP,Error Budget,構造・因果の説明責任,Error Budgetの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,消費率とリリース判断への利用,信頼性悪化中も機能開発を続ける,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
275,P2,88.925,D12-T06-V4,セキュリティ,監査ログ,意思決定・オーナー責任,監査ログに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,特権・データアクセス・設定変更の追跡性,侵害時に何が起きたか説明できない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
276,P2,88.92,D03-T03-V2,収益性・ユニットエコノミクス,CAC Payback,構造・因果の説明責任,CAC Paybackの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,粗利調整後CAC回収月数,成長のために回収不能な獲得費を使う,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
277,P2,88.91,D02-T07-V4,継続率・顧客維持,利用低下の早期検知,意思決定・オーナー責任,利用低下の早期検知に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,利用量・ログイン・主要機能利用の低下シグナル,CSが解約直前まで兆候を把握できない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
278,P2,88.895,D21-T08-V4,組織・人材・リーダーシップ,評価・インセンティブ,意思決定・オーナー責任,評価・インセンティブに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,KPIが部門最適を誘発していないか,Sales・Dev・CSが逆方向へ最適化する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
279,P2,88.89,D11-T05-V2,信頼性・SRE・BCP,MTTD,構造・因果の説明責任,MTTDの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,発生から検知までの時間,顧客問い合わせで初めて障害に気づく,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
280,P2,88.89,D20-T05-V2,カスタマーサポート・サービス運用,Sev1 Escalation,構造・因果の説明責任,Sev1 Escalationの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,重大問い合わせのエスカレーション速度,責任者到達が遅れて被害が拡大する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
281,P2,88.865,D12-T10-V4,セキュリティ,Secure SDLC,意思決定・オーナー責任,Secure SDLCに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,設計・実装・依存・CI/CDへのセキュリティ統合,セキュリティがリリース後の検査工程になる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
282,P2,88.865,D25-T10-V3,評判・エコシステム・事業継続,事業継続の単一障害点,下方リスク・早期警戒責任,事業継続の単一障害点の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「1要素の喪失で事業提供が止まる」が顕在化する前に経営判断へつなげられること。,人・技術・契約・供給者のSPOF,1要素の喪失で事業提供が止まる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
283,P2,88.845,D03-T08-V2,収益性・ユニットエコノミクス,プロフェッショナルサービス負担,構造・因果の説明責任,プロフェッショナルサービス負担の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,導入・個別開発工数と回収額,SaaSが実質SI化してスケールしない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
284,P2,88.845,D11-T08-V2,信頼性・SRE・BCP,容量余力,構造・因果の説明責任,容量余力の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,ピーク時余力、スケール限界、増設時間,成長や突発負荷で全体停止する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
285,P2,88.83,D03-T09-V2,収益性・ユニットエコノミクス,貢献利益,構造・因果の説明責任,貢献利益の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,顧客・製品・セグメント別Contribution Margin,売上は増えても利益貢献が減る,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
286,P2,88.83,D11-T09-V2,信頼性・SRE・BCP,再発障害,構造・因果の説明責任,再発障害の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,同一原因・同一系統の再発件数,根本原因未解消で信用を失う,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
287,P2,88.535,D11-T02-V4,信頼性・SRE・BCP,Error Budget,意思決定・オーナー責任,Error Budgetに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,消費率とリリース判断への利用,信頼性悪化中も機能開発を続ける,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
288,P2,88.52,D03-T03-V4,収益性・ユニットエコノミクス,CAC Payback,意思決定・オーナー責任,CAC Paybackに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,粗利調整後CAC回収月数,成長のために回収不能な獲得費を使う,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
